Account Name,Account Type,Kind,Namespace,RoleRefName,RoleRefKind,apiGroups,Resources,Verbs
,,,,,,extensions,deployments,"get, list, update, watch"
,,,,,,extensions,deployments/finalizers,update
,,,,,,extensions,deployments/status,update
,,,,,,extensions,replicasets,"create, delete, get, list, patch, update, watch"
disruption-controller,ServiceAccount,ClusterRoleBinding,,system:controller:disruption-controller,ClusterRole,,events,"create, patch, update"
,,,,,,,replicationcontrollers,"get, list, watch"
,,,,,,*,*/scale,get
,,,,,,apps,deployments,"get, list, watch"
,,,,,,apps,replicasets,"get, list, watch"
,,,,,,apps,statefulsets,"get, list, watch"
,,,,,,events.k8s.io,events,"create, patch, update"
,,,,,,extensions,deployments,"get, list, watch"
,,,,,,extensions,replicasets,"get, list, watch"
,,,,,,policy,poddisruptionbudgets,"get, list, watch"
,,,,,,policy,poddisruptionbudgets/status,update
endpoint-controller,ServiceAccount,ClusterRoleBinding,,system:controller:endpoint-controller,ClusterRole,,endpoints,"create, delete, get, list, update"
,,,,,,,endpoints/restricted,create
,,,,,,,events,"create, patch, update"
,,,,,,,pods,"get, list, watch"
,,,,,,,services,"get, list, watch"
,,,,,,events.k8s.io,events,"create, patch, update"
endpointslice-controller,ServiceAccount,ClusterRoleBinding,,system:controller:endpointslice-controller,ClusterRole,,events,"create, patch, update"
,,,,,,,nodes,"get, list, watch"
,,,,,,,pods,"get, list, watch"
,,,,,,,services,"get, list, watch"
,,,,,,,services/finalizers,update
,,,,,,discovery.k8s.io,endpointslices,"create, delete, get, list, update"
,,,,,,events.k8s.io,events,"create, patch, update"
endpointslicemirroring-controller,ServiceAccount,ClusterRoleBinding,,system:controller:endpointslicemirroring-controller,ClusterRole,,endpoints,"get, list, watch"
,,,,,,,endpoints/finalizers,update
,,,,,,,events,"create, patch, update"
,,,,,,,services,"get, list, watch"
,,,,,,,services/finalizers,update
,,,,,,discovery.k8s.io,endpointslices,"create, delete, get, list, update"
,,,,,,events.k8s.io,events,"create, patch, update"
ephemeral-volume-controller,ServiceAccount,ClusterRoleBinding,,system:controller:ephemeral-volume-controller,ClusterRole,,events,"create, patch, update"
,,,,,,,persistentvolumeclaims,"create, get, list, watch"
,,,,,,,pods,"get, list, watch"
,,,,,,,pods/finalizers,update
,,,,,,events.k8s.io,events,"create, patch, update"
expand-controller,ServiceAccount,ClusterRoleBinding,,system:controller:expand-controller,ClusterRole,,endpoints,get
,,,,,,,events,"create, patch, update"
,,,,,,,persistentvolumeclaims,"get, list, watch"
,,,,,,,persistentvolumeclaims/status,"patch, update"
,,,,,,,persistentvolumes,"get, list, patch, update, watch"
,,,,,,,secrets,get
,,,,,,,services,get
,,,,,,events.k8s.io,events,"create, patch, update"
,,,,,,storage.k8s.io,storageclasses,"get, list, watch"
generic-garbage-collector,ServiceAccount,ClusterRoleBinding,,system:controller:generic-garbage-collector,ClusterRole,,events,"create, patch, update"
,,,,,,*,*,"delete, get, list, patch, update, watch"
,,,,,,events.k8s.io,events,"create, patch, update"
horizontal-pod-autoscaler,ServiceAccount,ClusterRoleBinding,,system:controller:horizontal-pod-autoscaler,ClusterRole,,events,"create, patch, update"
,,,,,,,pods,list
,,,,,,,services/proxy.http:heapster:,get
,,,,,,*,*/scale,"get, update"
,,,,,,autoscaling,horizontalpodautoscalers,"get, list, watch"
,,,,,,autoscaling,horizontalpodautoscalers/status,update
,,,,,,custom.metrics.k8s.io,*,"get, list"
,,,,,,events.k8s.io,events,"create, patch, update"
,,,,,,metrics.k8s.io,pods,list
job-controller,ServiceAccount,ClusterRoleBinding,,system:controller:job-controller,ClusterRole,,events,"create, patch, update"
,,,,,,,pods,"create, delete, list, patch, watch"
,,,,,,batch,jobs,"get, list, patch, update, watch"
,,,,,,batch,jobs/finalizers,update
,,,,,,batch,jobs/status,update
,,,,,,events.k8s.io,events,"create, patch, update"
ks-installer,ServiceAccount,ClusterRoleBinding,,ks-installer,ClusterRole,,*,*
,,,,,,admissionregistration.k8s.io,*,*
,,,,,,apiextensions.k8s.io,*,*
,,,,,,apiregistration.k8s.io,*,*
,,,,,,application.kubesphere.io,*,*
,,,,,,apps,*,*
,,,,,,auditing.kubesphere.io,*,*
,,,,,,autoscaling,*,*
,,,,,,batch,*,*
,,,,,,certificates.k8s.io,*,*
,,,,,,config.istio.io,*,*
,,,,,,core.kubefed.io,*,*
,,,,,,devops.kubesphere.io,*,*
,,,,,,events.kubesphere.io,*,*
,,,,,,extensions,*,*
,,,,,,iam.kubesphere.io,*,*
,,,,,,installer.kubesphere.io,*,*
